date,Deaths,Cases
2020-02-26,0,12
2020-02-27,0,22
2020-02-28,0,32
2020-02-29,0,45
2020-03-01,0,56
2020-03-02,0,87
2020-03-03,0,120
2020-03-04,0,181
2020-03-05,0,243
2020-03-06,1,316
2020-03-07,1,365
2020-03-08,2,434
2020-03-09,2,626
2020-03-10,4,838
2020-03-11,5,1172
2020-03-12,9,1529
2020-03-13,10,1962
2020-03-14,14,2382
2020-03-15,22,2710
2020-03-16,34,3774
2020-03-17,41,4862
2020-03-18,50,6076
2020-03-19,60,6912
2020-03-20,83,8059
2020-03-21,103,8752
2020-03-22,118,9299
2020-03-23,147,10763
2020-03-24,168,12007
2020-03-25,203,13079
2020-03-26,248,14197
2020-03-27,285,15505
2020-03-28,336,16228
2020-03-29,384,16661
2020-03-30,446,17971
2020-03-31,513,19108
2020-04-01,575,20124
2020-04-02,639,21002
2020-04-03,700,21930
2020-04-04,767,22416
2020-04-05,819,22697
2020-04-06,879,23622
2020-04-07,940,24337
2020-04-08,1007,24950
2020-04-09,1059,25509
2020-04-10,1110,25818
2020-04-11,1149,26080
2020-04-12,1207,26299
2020-04-13,1241,26544
2020-04-14,1280,26969
2020-04-15,1335,27297
2020-04-16,1383,27618
2020-04-17,1432,27909
2020-04-18,1473,28053
2020-04-19,1499,28139
2020-04-20,1542,28416
2020-04-21,1585,28629
2020-04-22,1615,28787
2020-04-23,1646,28995
2020-04-24,1676,29162
2020-04-25,1701,29249
2020-04-26,1719,29310
2020-04-27,1741,29483
2020-04-28,1769,29636
2020-04-29,1777,29756
2020-04-30,1795,29857
2020-05-01,1811,29940
2020-05-02,1826,29987
2020-05-03,1834,30009
2020-05-04,1841,30099
2020-05-05,1854,30172
2020-05-06,1860,30251
2020-05-07,1871,30297
2020-05-08,1880,30356
2020-05-09,1890,30395
2020-05-10,1899,30410
2020-05-11,1903,30456
2020-05-12,1909,30498
2020-05-13,1913,30535
2020-05-14,1917,30572
2020-05-15,1922,30613
2020-05-16,1922,30628
2020-05-17,1927,30640
2020-05-18,1933,30674
2020-05-19,1935,30710
2020-05-20,1936,30739
2020-05-21,1940,30750
2020-05-22,1942,30769
2020-05-23,1943,30783
2020-05-24,1944,30793
2020-05-25,1948,30808
2020-05-26,1948,30826
2020-05-27,1950,30851
2020-05-28,1951,30881
2020-05-29,1951,30902
2020-05-30,1952,30912
2020-05-31,1952,30919
2020-06-01,1952,30922
2020-06-02,1952,30944
2020-06-03,1952,30967
2020-06-04,1952,30984
2020-06-05,1952,30999
2020-06-06,1952,31009
2020-06-07,1953,31017
2020-06-08,1955,31042
2020-06-09,1955,31053
2020-06-10,1956,31077
2020-06-11,1956,31102
2020-06-12,1958,31136
2020-06-13,1958,31145
2020-06-14,1958,31157
2020-06-15,1958,31189
2020-06-16,1959,31210
2020-06-17,1961,31228
2020-06-18,1961,31246
2020-06-19,1961,31283
2020-06-20,1961,31315
2020-06-21,1961,31328
2020-06-22,1962,31384
2020-06-23,1964,31421
2020-06-24,1964,31485
2020-06-25,1964,31533
2020-06-26,1964,31624
2020-06-27,1964,31659
2020-06-28,1964,31681
2020-06-29,1965,31839
2020-06-30,1965,31975
2020-07-01,1965,32077
2020-07-02,1965,32204
2020-07-03,1965,32300
2020-07-04,1965,32326
2020-07-05,1965,32363
2020-07-06,1966,32468
2020-07-07,1966,32575
2020-07-08,1968,32671
2020-07-09,1968,32768
2020-07-10,1968,32879
2020-07-11,1968,32949
2020-07-12,1968,32995
2020-07-13,1968,33115
2020-07-14,1968,33243
2020-07-15,1969,33363
2020-07-16,1970,33469
2020-07-17,1970,33584
2020-07-18,1970,33664
2020-07-19,1970,33705
2020-07-20,1973,33832
2020-07-21,1974,33970
2020-07-22,1974,34087
2020-07-23,1977,34230
2020-07-24,1978,34378
2020-07-25,1978,34473
2020-07-26,1979,34529
2020-07-27,1979,34723
2020-07-28,1979,34910
2020-07-29,1981,35130
2020-07-30,1981,35341
2020-07-31,1983,35504
2020-08-01,1983,35598
2020-08-02,1983,35677
2020-08-03,1984,35870
2020-08-04,1985,36051
2020-08-05,1985,36203
2020-08-06,1987,36359
2020-08-07,1987,36541
2020-08-08,1989,36670
2020-08-09,1989,36769
2020-08-10,1990,37049
2020-08-11,1991,37304
2020-08-12,1991,37549
2020-08-13,1992,37819
2020-08-14,1993,38053
2020-08-15,1995,38202
2020-08-16,1996,38341
2020-08-17,1998,38627
2020-08-18,1999,38922
2020-08-19,1999,39205
2020-08-20,1999,39554
2020-08-21,2000,39866
2020-08-22,2000,40059
2020-08-23,2001,40193
2020-08-24,2003,40499
2020-08-25,2003,40836
2020-08-26,2003,41199
2020-08-27,2004,41543
2020-08-28,2004,41722
